"Date and time",Description,MCC,"Card currency amount, (UAH)","Operation amount","Operation currency","Exchange rate","Commission, (UAH)","Cashback amount, (UAH)",Balance
"29.01.2025 00:59:57","From White card",4829,1300.0,1300.0,UAH,—,—,—,1949.8
"21.01.2025 11:47:44","From White card",4829,91.34,91.34,UAH,—,—,—,649.8
"17.01.2025 21:27:10","CARRACA PUB",5812,-256.47,-5.85,EUR,43.841,—,—,558.46
"17.01.2025 15:08:02",Adobe,5817,-409.01,-9.59,USD,42.6496,—,—,814.93
"17.01.2025 14:02:52","RESTORAN KAMPUS",5812,-93.82,-2.14,EUR,43.8411,—,—,1223.94
"10.01.2025 20:39:37",PBZTMCDONALDS,5814,-96.8,-2.2,EUR,44.0,—,—,1317.76
"10.01.2025 17:03:24","RESTORAN KAMPUS",5812,-34.76,-0.79,EUR,44.0,—,—,1414.56
"09.01.2025 14:23:09","RESTORAN KAMPUS",5812,-51.07,-1.16,EUR,44.0258,—,—,1449.32
"08.01.2025 19:13:38",PBZTINTERSPAR8721,5411,-162.66,-3.68,EUR,44.201,—,—,1500.39
"08.01.2025 17:15:51","RESTORAN KAMPUS",5812,-34.92,-0.79,EUR,44.2025,—,—,1663.05
"07.01.2025 12:41:59","RESTORAN KAMPUS",5812,-37.32,-0.84,EUR,44.4285,—,—,1697.97
"01.01.2025 13:48:13","GOOGLE *YouTubePremium",5817,-149.0,-149.0,UAH,—,—,—,1735.29
